Ano;Mês;Indicador;Município;Total_Municipios;Cobertura_Completa
2022;3;IND2;5262;5297;False
2022;3;IND4;5262;5297;False
2022;3;IND5;5296;5297;False
2022;3;INF4-DL;5239;5297;False
2022;3;INF4-UP;5239;5297;False
2022;4;IND2;5262;5297;False
2022;4;IND4;5262;5297;False
2022;4;IND5;5296;5297;False
2022;4;INF4-DL;5242;5297;False
2022;4;INF4-UP;5242;5297;False
2022;5;IND2;5262;5297;False
2022;5;IND4;5262;5297;False
2022;5;IND5;5296;5297;False
2022;5;INF4-DL;5242;5297;False
2022;5;INF4-UP;5242;5297;False
2022;6;IND2;5262;5297;False
2022;6;IND4;5262;5297;False
2022;6;IND5;5296;5297;False
2022;6;INF4-DL;5242;5297;False
2022;6;INF4-UP;5242;5297;False
2022;7;IND2;5262;5297;False
2022;7;IND4;5262;5297;False
2022;7;IND5;5296;5297;False
2022;7;INF4-DL;5246;5297;False
2022;7;INF4-UP;5246;5297;False
2022;8;IND2;5262;5297;False
2022;8;IND4;5262;5297;False
2022;8;IND5;5296;5297;False
2022;8;INF4-DL;5246;5297;False
2022;8;INF4-UP;5246;5297;False
2022;9;IND2;5262;5297;False
2022;9;IND4;5262;5297;False
2022;9;IND5;5296;5297;False
2022;9;INF4-DL;5246;5297;False
2022;9;INF4-UP;5246;5297;False
2022;10;IND2;5262;5297;False
2022;10;IND4;5262;5297;False
2022;10;IND5;5296;5297;False
2022;10;INF4-DL;5247;5297;False
2022;10;INF4-UP;5247;5297;False
2022;11;IND2;5262;5297;False
2022;11;IND4;5262;5297;False
2022;11;IND5;5296;5297;False
2022;11;INF4-DL;5247;5297;False
2022;11;INF4-UP;5247;5297;False
2022;12;IND2;5262;5297;False
2022;12;IND4;5262;5297;False
2022;12;IND5;5296;5297;False
2022;12;INF4-DL;5247;5297;False
2022;12;INF4-UP;5247;5297;False
2023;1;IND2;4600;5297;False
2023;1;IND4;5262;5297;False
2023;2;IND2;4600;5297;False
2023;3;IND2;4600;5297;False
2023;3;IND4;5262;5297;False
2023;4;IND2;4600;5297;False
2023;4;IND4;5263;5297;False
2023;5;IND2;4600;5297;False
2023;5;IND4;5263;5297;False
2023;6;IND2;4600;5297;False
2023;6;IND4;5263;5297;False
2023;7;IND2;4602;5297;False
2023;8;IND2;4602;5297;False
2023;9;IND2;4602;5297;False
2023;10;IND2;4606;5297;False
2023;11;IND2;4606;5297;False
2023;12;IND2;4606;5297;False
2024;10;IND2;5172;5297;False
2024;10;IND4;4256;5297;False
2024;10;IND5;5296;5297;False
