Indicador,Mês,municipios_com_dado,municipios_sem_dado,missing_rate,classificacao,cobertura_pct
IND2,3,5517,53,0.009515260323159785,Baixa ausência (<10%),99.0
IND2,4,5518,52,0.00933572710951526,Baixa ausência (<10%),99.1
IND2,5,5517,53,0.009515260323159785,Baixa ausência (<10%),99.0
IND2,6,5518,52,0.00933572710951526,Baixa ausência (<10%),99.1
IND2,7,5520,50,0.008976660682226212,Baixa ausência (<10%),99.1
IND2,8,5513,57,0.010233393177737882,Baixa ausência (<10%),99.0
IND2,9,5514,56,0.010053859964093357,Baixa ausência (<10%),99.0
IND2,10,5510,60,0.010771992818671455,Baixa ausência (<10%),98.9
IND2,11,5508,62,0.011131059245960502,Baixa ausência (<10%),98.9
IND2,12,5508,62,0.011131059245960502,Baixa ausência (<10%),98.9
IND4,3,5420,150,0.026929982046678635,Baixa ausência (<10%),97.3
IND4,4,5453,117,0.021005385996409335,Baixa ausência (<10%),97.9
IND4,5,5489,81,0.014542190305206463,Baixa ausência (<10%),98.5
IND4,6,5495,75,0.013464991023339317,Baixa ausência (<10%),98.7
IND4,7,5500,70,0.012567324955116697,Baixa ausência (<10%),98.7
IND4,8,5503,67,0.012028725314183124,Baixa ausência (<10%),98.8
IND4,9,5503,67,0.012028725314183124,Baixa ausência (<10%),98.8
IND4,10,5506,64,0.011490125673249552,Baixa ausência (<10%),98.9
IND4,11,5505,65,0.011669658886894075,Baixa ausência (<10%),98.8
IND4,12,5507,63,0.011310592459605027,Baixa ausência (<10%),98.9
IND5,3,5427,143,0.025673249551166965,Baixa ausência (<10%),97.4
IND5,4,5509,61,0.010951526032315978,Baixa ausência (<10%),98.9
IND5,5,5544,26,0.00466786355475763,Baixa ausência (<10%),99.5
IND5,6,5551,19,0.0034111310592459605,Baixa ausência (<10%),99.7
IND5,7,5554,16,0.002872531418312388,Baixa ausência (<10%),99.7
IND5,8,5556,14,0.0025134649910233393,Baixa ausência (<10%),99.7
IND5,9,5557,13,0.002333931777378815,Baixa ausência (<10%),99.8
IND5,10,5558,12,0.0021543985637342907,Baixa ausência (<10%),99.8
IND5,11,5551,19,0.0034111310592459605,Baixa ausência (<10%),99.7
IND5,12,5533,37,0.006642728904847397,Baixa ausência (<10%),99.3
IND8,7,5570,0,0.0,Baixa ausência (<10%),100.0
IND8,8,5570,0,0.0,Baixa ausência (<10%),100.0
IND8,9,5570,0,0.0,Baixa ausência (<10%),100.0
IND8,10,5570,0,0.0,Baixa ausência (<10%),100.0
IND8,11,5570,0,0.0,Baixa ausência (<10%),100.0
IND8,12,5570,0,0.0,Baixa ausência (<10%),100.0
IND9,3,2289,3281,0.589048473967684,Alta (>40%),41.1
IND9,4,2078,3492,0.6269299820466786,Alta (>40%),37.3
IND9,5,2114,3456,0.6204667863554758,Alta (>40%),38.0
IND9,6,2035,3535,0.6346499102333932,Alta (>40%),36.5
IND9,7,1945,3625,0.6508078994614004,Alta (>40%),34.9
IND9,8,2063,3507,0.6296229802513466,Alta (>40%),37.0
IND9,9,1959,3611,0.648294434470377,Alta (>40%),35.2
IND9,10,1921,3649,0.655116696588869,Alta (>40%),34.5
IND9,11,1988,3582,0.6430879712746859,Alta (>40%),35.7
IND9,12,1964,3606,0.6473967684021544,Alta (>40%),35.3
INF1,7,4792,778,0.13967684021543986,Moderada (10–40%),86.0
INF1,8,5187,383,0.06876122082585279,Baixa ausência (<10%),93.1
INF1,9,5065,505,0.09066427289048475,Baixa ausência (<10%),90.9
INF1,10,5079,491,0.0881508078994614,Baixa ausência (<10%),91.2
INF1,11,5130,440,0.07899461400359066,Baixa ausência (<10%),92.1
INF1,12,4570,1000,0.17953321364452424,Moderada (10–40%),82.0
INF4-DL,3,874,4696,0.8430879712746858,Alta (>40%),15.7
INF4-DL,4,2819,2751,0.49389587073608615,Alta (>40%),50.6
INF4-DL,5,3479,2091,0.3754039497307002,Moderada (10–40%),62.5
INF4-DL,6,3815,1755,0.31508078994614,Moderada (10–40%),68.5
INF4-DL,7,3858,1712,0.3073608617594255,Moderada (10–40%),69.3
INF4-DL,8,3906,1664,0.2987432675044883,Moderada (10–40%),70.1
INF4-DL,9,3929,1641,0.29461400359066425,Moderada (10–40%),70.5
INF4-DL,10,3849,1721,0.30897666068222623,Moderada (10–40%),69.1
INF4-DL,11,3571,1999,0.358886894075404,Moderada (10–40%),64.1
INF4-DL,12,2374,3196,0.5737881508078995,Alta (>40%),42.6
INF4-UP,3,876,4694,0.8427289048473968,Alta (>40%),15.7
INF4-UP,4,2865,2705,0.4856373429084381,Alta (>40%),51.4
INF4-UP,5,3533,2037,0.3657091561938959,Moderada (10–40%),63.4
INF4-UP,6,3887,1683,0.30215439856373427,Moderada (10–40%),69.8
INF4-UP,7,3930,1640,0.29443447037701975,Moderada (10–40%),70.6
INF4-UP,8,3974,1596,0.2865350089766607,Moderada (10–40%),71.3
INF4-UP,9,3997,1573,0.2824057450628366,Moderada (10–40%),71.8
INF4-UP,10,3913,1657,0.29748653500897665,Moderada (10–40%),70.3
INF4-UP,11,3626,1944,0.3490125673249551,Moderada (10–40%),65.1
INF4-UP,12,2410,3160,0.5673249551166966,Alta (>40%),43.3
